zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309;3716.3;30;30%
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205;3643.5;30;30%
Nunez;Budweiser;Cerveza Budweiser Lata 473 ml;473 ml;3060;2295;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;2828;20;20%
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;3052;20;20%
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;2889;1733.4;40;40%
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4550;3640;20;20%
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;3965;3172;20;20%
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;4269;2561.4;40;40%
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 473 ml;473 ml;2245;1796;20;20%
Nunez;Heineken;Cerveza Heineken Lata 710 ml;710 ml;6355;5401.75;15;15%
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3569;2141.4;40;40%
Nunez;Schneider;Cerveza Schneider Rubia 473 ml;473 ml;2615;2092;20;20%
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;4955;3964;20;20%
Nunez;Heineken;Cerveza Rubia Heineken 473 ml;473 ml;4275;4275;0;
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7490;5617.5;25;25%
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4079;3059.25;25;25%
Nunez;Andes Origen;Cerveza Andes Origen Rubia Lata 473 ml;473 ml;3419;2051.4;40;40%
Nunez;Stella Artois;Cervez Stella Artois 710 ml;710 ml;6205;4653.75;25;25%
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6389;5111.2;20;20%
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5309;3716.3;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715;2972;20;20%
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;-;4485;3363.75;25;25%
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;2196;20;20%
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305;1613.5;30;30%
Nunez;Heineken;Cerveza Heineken Cero Alcohol Lata 473 ml;473 ml;3289;2631.2;20;20%
Nunez;Quilmes;Cerveza Quilmes Ipa 473 ml;473 ml;2745;2196;20;20%
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 730 ml;730 ml;7549;5284.3;30;30%
Nunez;Patagonia;Cerveza Patagonia Roja Amber Lager 730 ml;730 ml;7549;5284.3;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Rubia Oro 473 ml;473 ml;3389;2033.4;40;40%
Nunez;Pampa;Cerveza Pampa Dorada Pampeana 473 ml;473 ml;3300;2310;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Negra 473ml;473 ml;3499;2099.4;40;40%
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 730 mL;730 ml;7549;5284.3;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 ml;473 ml;3569;2141.4;40;40%
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225;2580;20;20%
Nunez;Pampa;Cerveza Pampa Brewing Co Ipa 473 ml;473 ml;3300;2310;30;30%
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889;2022.3;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Honey 473 ml;473 ml;3225;2580;20;20%
Nunez;Ortuzar;Cerveza Ortuzar Porter 473 ml;473 ml;3325;2660;20;20%
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold Lata 473 ml;473 ml;4389;3291.75;25;25%
Nunez;Ortuzar;Cerveza Ortuzar Dubbel 473 ml;473 ml;3325;2660;20;20%
Nunez;Quilmes;Cerveza Quilmes Clásica 473ml;473 ml;2770;2216;20;20%
Nunez;Ortuzar;Cerveza Ortuzar German Pils 473 ml;473 ml;3325;2660;20;20%
Nunez;Corona;Cerveza Rubia Sin Alcohol 0.0% Corona 330 ml;330 ml;3855;2698.5;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Golden Ale 473 ml;473 ml;3225;2580;20;20%
Nunez;Quilmes;Cerveza Quilmes Bajo Cero 473 ml;473 ml;1735;1735;0;
Nunez;Ortuzar;Cerveza Ortuzar Poker Bourbon 473 ml;473 ml;3715;2972;20;20%
Nunez;Stella Artois;Cerveza Stella Artois Noire Pura Malta 473 ml;473 ml;4309;3231.75;25;25%
Nunez;Stones;Cerveza Stones Maracuyá 473 ml;473 ml;2880;2880;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Dubbel 330 ml;330 ml;8990;8990;0;
Nunez;Stones;Cerveza Stones Lemon 473 ml;473 ml;2880;2880;0;
Nunez;La Trappe;Cerveza Artesanal La Trappe Blond 330 ml;330 ml;8490;8490;0;
Nunez;Pampa;Cerveza Pampa Brewing Honey Ale Lata 473 ml;473 ml;3300;2310;30;30%
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225;1780;20;20%
Nunez;Pampa;Cerveza Pampa Brewing Amber Ale 473 ml;473 ml;3300;2310;30;30%
Nunez;Miller;Cerveza Miller 473 ml;473 ml;3729;2050.95;45;45%
Nunez;Heineken;Cerveza Sin Alcohol Heineken 330 ml;330 ml;3119;3119;0;
Nunez;Brahma;Cerveza Brahma Chopp Rubia 710 ml;710 ml;4200;3360;20;20%
Nunez;Beepure;Cerveza Artesanal Beepure Blonde Ale 500 ml;500 ml;4295;4295;0;
Nunez;Beepure;Cerveza Artesanal Beepure Scottish 500 ml;500 ml;4685;2998.4;36;36%
Nunez;cerveza imperial;Cerveza Imperial Golden 710 mL;710 ml;4785;4067.25;15;15%
Nunez;cerveza imperial;Cerveza Imperial Ipa 473 ml;473 ml;3495;2970.75;15;15%
Nunez;cerveza imperial;Cerveza Imperial Cream Stout 473 ml;473 ml;3529;3529;0;
Nunez;cerveza imperial;Cerveza Imperial Lager 710 ml;710 ml;4785;4067.25;15;15%
Nunez;cerveza imperial;Cerveza Imperial Golden Cero Alcohol 473 cm3;-;2229;2229;0;
Nunez;Miller;Cerveza Miller 600 ml;600 ml;6119;3365.45;45;45%
Nunez;cerveza imperial;Cerveza Imperial Lager 473 ml;473 ml;3325;3325;0;
Nunez;cerveza imperial;Cerveza Imperial Golden Lata 473 mL;473 ml;3325;3325;0;
Nunez;Brahma;Cerveza Brahma Chopp 473 ml;473 ml;2919;2335.2;20;20%
Nunez;cerveza imperial;Cerveza Imperial Apa 473 ml;473 ml;3529;3529;0;
Nunez;Brahma;Cerveza Brahma Chopp Lata 354 ml;354 ml;1769;1503.65;15;15%
Nunez;cerveza imperial;Cerveza Imperial Golden 300 ml;330 ml;3729;3729;0;
Nunez;Miller;Cerveza Miller Genuine Draft 710 ml;710 ml;5539;5539;0;
Nunez;Amstel;Cerveza Amstel Lager 710 ml;710 ml;4200;4200;0;
Nunez;Amstel;Cerveza Amstel Lager 473 ml;473 ml;2889;2889;0;
