zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Schneider;Cerveza Schneider Rubia 710 ml;710 ml;3815;2479.75;35;35%
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715;2600.5;30;30%
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225;2257.5;30;30%
Nunez;Corona;Cerveza Corona Rubia 330 ml;330 ml;4705;2823;40;40%
Nunez;Stella Artois;Cerveza Stella Artois 473 ml;473 ml;5075;3045;40;40%
Nunez;Michelob Ultra;Cerveza Michelob Ultra Sin Gluten 473 ml;473 ml;3325;1995;40;40%
Nunez;Quilmes;Cerveza Quilmes Clásica 710ml;710 ml;4100;3280;20;20%
Nunez;Pampa;Cerveza Pampa Brewing Lager 473 ml;473 ml;3210;1605;50;50%
Nunez;Andes Origen;Cerveza Andes Origen Rubia 710 ml;710 ml;5125;4100;20;20%
Nunez;Stella Artois;Cerveza Stella Artois Botella 330 ml;330 ml;4219;3164.25;25;25%
Nunez;Corona;Cerveza Rubia Corona 473 ml;473 ml;5099;3314.35;35;35%
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3889;2333.4;40;40%
Nunez;Corona;Cerveza Corona Rubia 710 ml;710 ml;7745;5421.5;30;30%
Nunez;Stella Artois;Cerveza Stella Artois Lager 710 ml;710 ml;6605;5284;20;20%
Nunez;Stella Artois;Cerveza Stella Artois Pure Gold 330 cm3;-;4635;2781;40;40%
Nunez;Brahma;Cerveza Brahma Chopp Rubia 710 ml;710 ml;4345;3041.5;30;30%
Nunez;1890;Cerveza 1890 Quilmes 473 ml;473 ml;2225;1557.5;30;30%
Nunez;cerveza imperial;Cerveza Imperial Golden 710 mL;710 ml;4785;3349.5;30;30%
Nunez;Andes Origen;Cerveza Andes Origen Rubia Lata 473 ml;473 ml;3659;2195.4;40;40%
Nunez;Patagonia;Cerveza Patagonia 24.7 Session Ipa 473 ml;473 ml;5489;2744.5;50;2 x 1
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5489;2744.5;50;2 x 1
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5489;2744.5;50;2 x 1
Nunez;Andes Origen;Cerveza Andes Origen Rubia Oro 473 ml;473 ml;3625;2175;40;40%
Nunez;Pampa;Cerveza Pampa Brewing Co Ipa 473 ml;473 ml;3535;2297.75;35;35%
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 ml;473 ml;3889;2333.4;40;40%
Nunez;Ortuzar;Cerveza Ortuzar Premium Lager 710 ml;710 ml;3535;2474.5;30;30%
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889;1877.85;35;35%
